Country_Name,Average_screen_time
South Africa,10.46
Philippines,10.27
Brazil,10.19
Colombia,10.03
Argentina,9.38
Malaysia,9.1
Thailand,9.06
Mexico,8.55
Indonesia,8.37
United Arab Emirates,8.36
Taiwan Province of China,8.07
Saudi Arabia,8.05
Egypt,8.02
Turkey,8.0
Portugal,7.56
Russia,7.5
Israel,7.35
Singapore,7.28
India,7.18
Romania,7.09
United States,7.04
Hong Kong S.A.R. of China,6.46
Canada,6.45
Poland,6.4
Vietnam,6.38
Ireland,6.31
New Zealand,6.23
Sweden,6.21
Australia,6.13
United Kingdom,6.12
Italy,6.1
Greece,6.06
Spain,6.04
Switzerland,5.45
Belgium,5.44
Austria,5.42
France,5.34
South Korea,5.29
Germany,5.22
China,5.15
Netherlands,5.11
Denmark,5.03
Japan,4.25
