Country_Name,Population_2020,Land_Area_Km,Density_P/Km
Afghanistan,"38,041,750","652,230",56.94
Albania,"2,854,190","28,748",104.61
Algeria,"43,053,050","2,381,740",17.73
Andorra,"77,140",468,163.84
Angola,"31,825,290","1,246,700",24.71
Antigua and Barbuda,"97,120",443,218.83
Argentina,"44,938,710","2,780,400",16.26
Armenia,"2,957,730","29,743",103.68
Australia,"25,364,310","7,741,220",3.25
Austria,"8,877,070","83,871",107.13
Azerbaijan,"10,023,320","86,600",120.26
Bahamas,"389,480","13,880",38.53
Bahrain,"1,641,170",760,2012.1
Bangladesh,"163,046,160","148,460",1239.58
Barbados,"287,020",430,666.61
Belarus,"9,466,860","207,600",46.72
Belgium,"11,484,060","30,528",377.38
Belize,"390,350","22,966",16.79
Benin,"11,801,150","112,622",101.85
Bhutan,"763,090","38,394",19.78
Bolivia,"11,513,100","1,098,581",10.48
Bosnia and Herzegovina,"3,301,000","51,197",64.92
Botswana,"2,303,700","581,730",3.98
Brazil,"211,049,530","8,515,770",25.06
Brunei,"433,290","5,765",81.4
Bulgaria,"6,975,760","110,879",64.71
Burkina Faso,"20,321,380","274,200",72.19
Burundi,"11,530,580","27,830",435.18
Cote d'Ivoire,"25,716,540","322,463",78.83
Cabo Verde,"549,930","4,033",134.93
Cambodia,"16,486,540","181,035",92.06
Cameroon,"25,876,380","475,440",53.34
Canada,"37,589,260","9,984,670",4.13
Central African Republic,"4,745,190","622,984",7.49
Chad,"15,946,880","1,284,000",12.29
Chile,"18,952,040","756,102",25.19
China,"1,397,715,000","9,596,960",147.77
Colombia,"50,339,440","1,138,910",44.76
Comoros,"850,890","2,235",447.24
Congo ,"5,380,510","342,000",15.36
Costa Rica,"5,047,560","51,100",97.91
Croatia,"4,067,500","56,594",72.24
Cuba,"11,333,480","110,860",109.23
Cyprus,"1,198,580","9,251",128.71
Czechia,"10,669,710","78,867",137.69
Congo,"86,790,570","2,344,858",37.08
Denmark,"5,818,550","43,094",144.84
Djibouti,"973,560","23,200",41.37
Dominica,"71,810",751,95.5
Dominican Republic,"10,738,960","48,670",219.98
Ecuador,"17,373,660","283,561",68.79
Egypt,"100,388,070","1,001,450",98.87
El Salvador,"6,453,550","21,041",309.88
Equatorial Guinea,"1,355,990","28,051",46.67
Eritrea,"3,213,970","117,600",34.19
Estonia,"1,326,590","45,228",30.41
Eswatini ,"1,148,130","17,364",66.06
Ethiopia,"112,078,730","1,104,300",96.72
Fiji,"889,950","18,274",48.36
Finland,"5,520,310","338,145",18.15
France,"67,059,890","643,801",122.3
Gabon,"2,172,580","267,667",8.22
Gambia,"2,347,710","11,300",225.31
Georgia,"3,720,380","69,700",65.2
Germany,"83,132,800","357,022",237.29
