Country,Population_2020,Land_Area,Density
Afghanistan,38041750,652230,56.94
Albania,2854190,28748,104.61
Algeria,43053050,2381740,17.73
Andorra,77140,468,163.84
Angola,31825290,1246700,24.71
Antigua and Barbuda,97120,443,218.83
Argentina,44938710,2780400,16.26
Armenia,2957730,29743,103.68
Australia,25364310,7741220,3.25
Austria,8877070,83871,107.13
Azerbaijan,10023320,86600,120.26
Bahamas,389480,13880,38.53
Bahrain,1641170,760,2012.1
Bangladesh,163046160,148460,1239.58
Barbados,287020,430,666.61
Belarus,9466860,207600,46.72
Belgium,11484060,30528,377.38
Belize,390350,22966,16.79
Benin,11801150,112622,101.85
Bhutan,763090,38394,19.78
Bolivia,11513100,1098581,10.48
Bosnia and Herzegovina,3301000,51197,64.92
Botswana,2303700,581730,3.98
Brazil,211049530,8515770,25.06
Brunei,433290,5765,81.4
Bulgaria,6975760,110879,64.71
Burkina Faso,20321380,274200,72.19
Burundi,11530580,27830,435.18
Cote d'Ivoire,25716540,322463,78.83
Cabo Verde,549930,4033,134.93
Cambodia,16486540,181035,92.06
Cameroon,25876380,475440,53.34
Canada,37589260,9984670,4.13
Central African Republic,4745190,622984,7.49
Chad,15946880,1284000,12.29
Chile,18952040,756102,25.19
China,1397715000,9596960,147.77
Colombia,50339440,1138910,44.76
Comoros,850890,2235,447.24
Congo (Congo-Brazzaville),5380510,342000,15.36
Costa Rica,5047560,51100,97.91
Croatia,4067500,56594,72.24
Cuba,11333480,110860,109.23
Cyprus,1198580,9251,128.71
Czechia (Czech Republic),10669710,78867,137.69
Democratic Republic of the Congo,86790570,2344858,37.08
Denmark,5818550,43094,144.84
Djibouti,973560,23200,41.37
Dominica,71810,751,95.5
Dominican Republic,10738960,48670,219.98
Ecuador,17373660,283561,68.79
Egypt,100388070,1001450,98.87
El Salvador,6453550,21041,309.88
Equatorial Guinea,1355990,28051,46.67
Eritrea,3213970,117600,34.19
Estonia,1326590,45228,30.41
"Eswatini (fmr. ""Swaziland"")",1148130,17364,66.06
Ethiopia,112078730,1104300,96.72
Fiji,889950,18274,48.36
Finland,5520310,338145,18.15
France,67059890,643801,122.3
Gabon,2172580,267667,8.22
Gambia,2347710,11300,225.31
Georgia,3720380,69700,65.2
Germany,83132800,357022,237.29
Ghana,30417860,238533,130.82
Greece,10716320,131957,83.27
Grenada,112000,344,327.81
Guatemala,16604030,108889,152.55
Guinea,12771250,245857,50.52
Guinea-Bissau,1920920,36125,66.65
Guyana,782770,214969,3.96
Haiti,11263080,27750,403.6
Holy See,825,0.44,
Honduras,9746120,112090,85.69
Hungary,9769950,93028,107.12
Iceland,361310,103000,3.5
India,1366417750,3287263,454.94
Indonesia,270625570,1904375,142.56
