CountryName_Clean,Region
Afghanistan,South Asia
Albania,Central and Eastern Europe
Algeria,Middle East and North Africa
American Samoa,
Andorra,
Angola,
Anguilla,
Antigua and Barbuda,
Argentina,Latin America and Caribbean
Armenia,Commonwealth of Independent States
Aruba,
Australia,North America and ANZ
Austria,Western Europe
Azerbaijan,Commonwealth of Independent States
Bahamas,
Bahrain,Middle East and North Africa
Bangladesh,South Asia
Barbados,
Belarus,Commonwealth of Independent States
Belgium,Western Europe
Belize,
Benin,Sub-Saharan Africa
Bermuda,
Bhutan,
Bolivia,Latin America and Caribbean
Bosnia and Herzegovina,Central and Eastern Europe
Botswana,Sub-Saharan Africa
Brazil,Latin America and Caribbean
British Virgin Islands,
Brunei,
Bulgaria,Central and Eastern Europe
Burkina Faso,Sub-Saharan Africa
Burundi,Sub-Saharan Africa
Cabo Verde,
Cambodia,Southeast Asia
Cameroon,Sub-Saharan Africa
Canada,North America and ANZ
Caribbean Netherlands,
Cayman Islands,
Central African Republic,
Chad,Sub-Saharan Africa
Channel Islands,
Chile,Latin America and Caribbean
China,East Asia
Colombia,Latin America and Caribbean
Comoros,Sub-Saharan Africa
Congo (Dominican Republic),Sub-Saharan Africa
Congo (Kinshasa),
Cook Islands,
Costa Rica,Latin America and Caribbean
Cote d'Ivoire,
Croatia,Central and Eastern Europe
Cuba,
Curacao,
Cyprus,Western Europe
Czech Republic,Central and Eastern Europe
Czechia,
Denmark,Western Europe
Djibouti,
Dominica,
Dominican Republic,Latin America and Caribbean
East Timor,
Ecuador,Latin America and Caribbean
Egypt,Middle East and North Africa
El Salvador,Latin America and Caribbean
Equatorial Guinea,
Eritrea,
Estonia,Central and Eastern Europe
Eswatini,
Ethiopia,Sub-Saharan Africa
Falkland Islands,
Faroe Islands,
Fiji,
Finland,Western Europe
FR Yugoslavia,
France,Western Europe
French Guiana,
French Polynesia,
Gabon,Sub-Saharan Africa
Gambia,Sub-Saharan Africa
Georgia,Commonwealth of Independent States
Germany,Western Europe
Ghana,Sub-Saharan Africa
Gibraltar,
Greece,Western Europe
Greenland,
Grenada,
Guadeloupe,
Guam,
Guatemala,Latin America and Caribbean
Guernsey,
Guinea,Sub-Saharan Africa
Guinea - Bissau,
Guyana,
Haiti,Latin America and Caribbean
Holy See,
Honduras,Latin America and Caribbean
Hong Kong,East Asia
Hungary,Central and Eastern Europe
Iceland,Western Europe
India,South Asia
Indonesia,Southeast Asia
Iran,Middle East and North Africa
Iraq,Middle East and North Africa
Ireland,Western Europe
Isle of Man,
Israel,Middle East and North Africa
Italy,Western Europe
Ivory Coast,Sub-Saharan Africa
Jamaica,Latin America and Caribbean
Japan,East Asia
Jersey,
Jordan,Middle East and North Africa
Kazakhstan,Commonwealth of Independent States
Kenya,Sub-Saharan Africa
Kiribati,
Kosovo,Central and Eastern Europe
Kuwait,Middle East and North Africa
Kyrgyzstan,Commonwealth of Independent States
Laos,Southeast Asia
Latvia,Central and Eastern Europe
Lebanon,Middle East and North Africa
Lesotho,Sub-Saharan Africa
Liberia,Sub-Saharan Africa
Libya,Middle East and North Africa
Liechtenstein,
Lithuania,Central and Eastern Europe
Luxembourg,Western Europe
Macao,
Macau,
Madagascar,Sub-Saharan Africa
Malawi,Sub-Saharan Africa
Malaysia,Southeast Asia
Maldives,South Asia
Mali,Sub-Saharan Africa
Malta,Western Europe
Marshall Islands,
Martinique,
Mauritania,Sub-Saharan Africa
Mauritius,Sub-Saharan Africa
Mayotte,
Mexico,Latin America and Caribbean
Micronesia,
Moldova,Commonwealth of Independent States
Monaco,
Mongolia,East Asia
Montenegro,Central and Eastern Europe
Montserrat,
Morocco,Middle East and North Africa
Mozambique,Sub-Saharan Africa
Myanmar,Southeast Asia
Namibia,Sub-Saharan Africa
Nauru,
Nepal,South Asia
Netherlands,Western Europe
New Caledonia,
New Zealand,North America and ANZ
Nicaragua,Latin America and Caribbean
Niger,Sub-Saharan Africa
